Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
196,10.75,8.5,0,9.5,2.55,0,30.19,83.23,89.28,39.41,82.45
197,10.75,8.5,0,9.5,2.55,0,30.26,86.34,108.51,47.25,88.29
198,10.75,8.5,0,9.5,2.55,0,36.69,88.98,124.06,69.07,99.83
199,10.75,8.5,0,9.5,2.55,0,48.39,94.88,133.24,107.13,112.16
200,10.75,8.5,0,9.5,2.55,0,49.81,129.11,120.91,160,130.5
201,10.75,8.5,0,9.5,2.55,0,50.19,117.16,113.19,180,120.69
202,10.75,8.5,0,9.5,2.55,0,48.05,109.91,105.78,177.14,109.08
203,10.75,8.5,0,9.5,2.55,0,44.25,102.5,100.22,159.07,102.1
204,10.75,8.5,0,9.5,2.55,0,41.38,97.11,100.82,160.57,92.22
205,10.75,8.5,0,9.5,2.55,0,44.28,97.69,110.89,140.56,92.11
206,10.75,8.5,0,9.5,2.55,0,46.28,107.45,119.4,137.67,101.19
207,10.75,8.5,0,9.5,2.55,0,49.23,115.69,127.85,143.57,112.35
208,10.75,8.5,0,9.5,2.55,0,46.81,123.88,137.84,151.02,122.38
209,10.75,8.5,0,9.5,2.55,0,63.37,133.56,137.8,161.96,137.1
210,10.75,8.5,0,9.5,2.55,0,75.27,133.53,130.43,176.07,136.7
211,10.75,8.5,0,9.5,2.55,0,60.72,126.38,120.24,182.18,129.74
212,10.75,8.5,0,9.5,2.55,0,54.44,116.51,111.68,170.79,116.34
213,10.75,8.5,0,9.5,2.55,0,47.49,99.96,106.18,160.51,105.57
214,10.75,8.5,0,9.5,2.55,0,47.44,91.69,97.09,138.93,98.4
215,10.75,8.5,0,9.5,2.55,0,43.65,90.91,89.29,132,93.69
216,10.75,8.5,0,9.5,2.55,0,46.28,86.52,86.76,108.31,83
217,10.75,8.5,0,9.5,2.55,0,45.23,84.07,86.73,106.02,86.76
218,10.75,8.5,0,9.5,2.55,0,43.99,84.04,86.09,96.71,86.73
219,10.75,8.5,0,9.5,2.55,0,35.39,83.42,86.3,95.14,84.06
220,10.75,8.5,0,9.5,2.55,0,30.85,83.63,89.05,90.36,84.18
221,10.75,8.5,0,9.5,2.55,0,31.1,82.45,108.88,95.61,84.64
222,10.75,8.5,0,9.5,2.55,0,35.3,82.74,126.29,108.6,99.03
223,10.75,8.5,0,9.5,2.55,0,48.15,96.89,141.28,138.13,115.35
224,10.75,8.5,0,9.5,2.55,0,52.43,136.9,130.39,154.73,138.09
225,10.75,8.5,0,9.5,2.55,0,59.57,126.35,118.56,165.33,130.39
226,10.75,8.5,0,9.5,2.55,0,60.35,114.88,109.13,160.42,116.31
227,10.75,8.5,0,9.5,2.55,0,55.92,105.97,102.21,154.73,109.13
228,10.75,8.5,0,9.5,2.55,0,48.2,98.82,105.61,146.45,99
229,10.75,8.5,0,9.5,2.55,0,43.9,91.49,112.91,141.22,98.8
230,10.75,8.5,0,9.5,2.55,0,41.4,109.41,123.8,141.68,102.38
231,10.75,8.5,0,9.5,2.55,0,41.67,119.96,134.64,145.41,117.49
232,10.75,8.5,0,9.5,2.55,0,44.8,122.06,143.79,145.92,132.23
233,10.75,8.5,0,9.5,2.55,0,52.16,139.19,140,140.5,143.79
234,10.75,8.5,0,9.5,2.55,0,55.42,135.66,132.15,146.34,140
235,10.75,8.5,0,9.5,2.55,0,50.02,128.06,120,140.45,132.15
236,10.75,8.5,0,9.5,2.55,0,49.86,116.28,109.76,124.44,120
237,10.75,8.5,0,9.5,2.55,0,45.79,100.52,104.49,106.15,106.73
238,10.75,8.5,0,9.5,2.55,0,44,89.46,90.9,86.53,99.6
239,10.75,8.5,0,9.5,2.55,0,34.86,85.04,91.75,81.3,90.93
240,10.75,8.5,0,9.5,2.55,0,37.92,88.9,88.59,42.96,91.75
241,10.75,8.5,0,9.5,2.55,0,35.68,85.84,87.25,5,88.59
242,10.75,8.5,0,9.5,2.55,0,32.88,84.54,82.38,0.16,87.25
243,10.75,8.5,0,9.5,2.55,0,30.36,79.83,81.95,0.08,82.38
244,10.75,8.5,0,9.5,2.55,0,25.94,79.57,89.36,0.01,80.72
245,10.75,8.5,0,9.5,2.55,0,18.97,83.75,102.07,0.04,85.65
246,10.75,8.5,0,9.5,2.55,0,22.07,86.74,116.86,2.75,97.88
247,10.75,8.5,0,9.5,2.55,0,31.57,110.07,141,57.88,116.87
248,10.75,8.5,0,9.5,2.55,0,37.34,136.63,129.16,91.11,141
249,10.75,8.5,0,9.5,2.55,0,41.98,125.03,113.65,127.44,129.16
250,10.75,8.5,0,9.5,2.55,0,41.88,110.01,106.48,129.74,113.65
251,10.75,8.5,0,9.5,2.55,0,41.8,103.29,99.38,131.71,106.48
252,10.75,8.5,0,9.5,2.55,0,42.45,96.3,99,130.02,99.38
253,10.75,8.5,0,9.5,2.55,0,40.98,95.93,105.98,117.47,99
254,10.75,8.5,0,9.5,2.55,0,45.42,102.69,117.96,110.54,105.98
255,10.75,8.5,0,9.5,2.55,0,43.93,114.3,137.35,115.74,115.38
256,10.75,8.5,0,9.5,2.55,0,37.07,133.09,150.09,117.7,118.57
257,10.75,8.5,0,9.5,2.55,0,48.83,145.44,136.69,119.2,136.43
258,10.75,8.5,0,9.5,2.55,0,75.27,132.45,132.31,132.39,136.7
259,10.75,8.5,0,9.5,2.55,0,65.15,128.21,117.88,132.88,132.31
260,10.75,8.5,0,9.5,2.55,0,56.17,114.22,107.19,127.8,117.9
261,10.75,8.5,0,9.5,2.55,0,50.6,103.76,100,114.56,107.19
262,10.75,8.5,0,9.5,2.55,0,47.97,94.49,97.22,93.47,100
263,10.75,8.5,0,9.5,2.55,0,43.03,85.74,91.04,91.71,91.22
264,10.75,8.5,0,9.5,2.55,0,42.57,86.53,88.22,68.54,87.92
265,10.75,8.5,0,9.5,2.55,0,44.25,83.3,85.22,19.88,85.54
266,10.75,8.5,0,9.5,2.55,0,41.62,81.25,84.63,5.55,84.86
